object,originality_rater01,originality_rater02,utility_rater01,utility_rater02
brick,0,0,0,0
brick,0,0,0,0
brick,2,2,5,5
brick,2,2,5,5
brick,4,2,2,3
brick,5,4,2,3
brick,1,1,5,4
brick,2,1,5,3
brick,2,3,5,4
brick,2,1,5,4
brick,3,3,3,3
brick,2,2,5,4
brick,3,4,5,5
brick,4,4,1,2
brick,0,0,0,0
brick,1,1,5,5
brick,1,1,5,5
brick,2,4,4,2
brick,2,4,4,2
brick,2,4,4,2
brick,2,4,4,2
brick,3,3,3,4
brick,0,1,0,4
brick,0,0,0,0
brick,2,2,5,5
brick,4,3,2,4
brick,3,4,3,3
brick,3,4,3,3
brick,0,4,0,3
brick,4,3,3,3
brick,4,3,2,2
brick,4,3,2,2
brick,4,3,2,2
brick,4,3,2,2
brick,4,3,2,2
brick,1,4,2,1
brick,1,1,5,2
brick,0,1,0,2
brick,0,1,0,2
brick,1,1,5,2
brick,1,1,5,2
brick,1,1,5,2
brick,1,1,5,2
brick,1,1,5,2
brick,1,1,5,2
brick,3,4,5,5
brick,3,3,5,4
brick,3,3,5,4
brick,4,2,5,5
brick,2,2,5,4
brick,1,3,5,2
brick,1,3,5,2
brick,3,4,3,2
brick,3,4,3,2
brick,3,4,3,2
brick,3,4,3,2
brick,4,4,5,4
brick,3,4,3,2
brick,4,4,5,4
brick,4,3,5,4
brick,4,3,5,4
brick,4,3,5,4
brick,4,3,5,4
brick,4,3,5,4
brick,4,3,5,4
brick,2,3,5,4
brick,2,2,5,4
brick,2,2,5,4
brick,2,2,5,4
brick,2,2,5,4
brick,2,2,5,4
brick,2,2,5,4
brick,2,2,5,4
brick,4,2,3,5
brick,4,2,3,5
brick,4,2,3,5
brick,4,2,3,5
brick,1,2,5,5
brick,0,3,0,4
brick,4,4,1,2
brick,0,4,0,3
brick,0,0,0,0
brick,3,2,3,4
brick,3,2,3,4
brick,3,2,3,4
brick,3,2,3,3
brick,3,2,3,3
brick,3,2,3,3
brick,3,2,3,3
brick,3,2,3,3
brick,3,2,3,3
brick,3,2,3,3
brick,3,2,3,3
brick,3,2,3,3
brick,3,2,3,3
brick,3,2,3,3
brick,3,2,3,3
brick,3,2,3,3
brick,4,4,2,2
brick,4,4,2,2
brick,2,2,5,5
brick,4,3,5,2
brick,3,3,5,5
brick,2,2,5,4
brick,2,2,4,3
brick,2,2,4,3
brick,3,3,5,4
brick,3,3,5,4
brick,3,3,5,4
brick,0,0,0,0
brick,1,1,5,5
brick,3,3,5,4
brick,5,4,1,3
brick,2,3,5,3
brick,4,3,1,3
brick,3,2,5,4
brick,4,4,5,3
brick,4,4,5,3
brick,2,2,4,4
brick,2,3,5,4
brick,2,3,5,5
brick,2,3,5,5
brick,2,3,5,5
brick,4,2,3,4
brick,2,1,4,5
brick,2,2,5,4
brick,2,3,5,4
brick,4,3,5,4
brick,2,3,5,5
brick,2,3,5,5
brick,2,3,5,5
brick,2,3,5,5
brick,2,3,5,5
brick,2,3,5,5
brick,2,3,5,5
brick,2,3,5,5
brick,2,3,5,5
brick,2,3,5,5
brick,2,3,5,5
brick,2,3,5,5
brick,2,3,5,5
brick,2,3,5,5
brick,2,3,5,5
brick,2,3,5,5
brick,2,3,5,5
brick,2,3,5,5
brick,2,3,5,5
brick,2,3,5,5
brick,2,3,5,5
brick,2,3,5,5
brick,2,3,5,5
brick,2,3,5,5
brick,4,3,3,3
brick,2,3,4,4
brick,3,3,2,4
brick,3,3,2,4
brick,3,3,2,4
brick,3,3,2,4
brick,3,3,2,4
brick,1,1,5,5
brick,1,1,5,5
brick,1,1,5,5
brick,1,1,5,5
brick,1,1,5,5
brick,1,1,5,5
brick,1,1,5,5
brick,1,1,5,5
brick,1,1,5,5
brick,1,1,5,5
brick,1,1,5,5
brick,1,1,5,5
brick,1,1,5,5
brick,1,1,5,5
brick,1,1,5,5
brick,1,1,5,5
brick,1,1,5,5
brick,1,1,5,5
brick,1,1,5,5
brick,1,1,5,5
brick,1,1,5,5
brick,1,1,5,5
brick,1,1,5,5
brick,1,1,5,5
brick,1,1,5,5
brick,1,1,5,5
brick,1,1,5,5
brick,1,1,5,5
brick,1,1,5,5
